,发病部位,名称,就诊科室,概述,疾病用药,疾病自测
0,全身,"艾滋病(获得性免疫缺陷综合征,AIDS)","传染科,生殖健康,性病科","艾滋病病毒简称HIV，是一种能攻击人体免疫系统的病毒。它把人体免疫系统中最重要的T4淋巴细胞作为攻击目标，大量吞噬、破坏T4淋巴细胞，从而破坏人的免疫系统，最终使免疫系统崩溃，使人体因丧失对各种疾病的抵抗能力而发病并死亡。科学家把这种病毒叫做""人类免疫缺陷病毒""。艾滋病病毒在人体内的潜伏期平均为12年至13年。在发展成艾滋病病人以前外表看上去正常，他们可以没有任何症状地生活和工作很多年。","盐酸缬更昔洛韦片,齐多拉米双夫定片,肠内营养混悬液(TPF)","艾滋病自测Ⅲ,艾滋病自测Ⅰ,艾滋病自测Ⅱ"
1,"头,四肢,全身",阿尔茨海默病(老年痴呆),"神经内科,老年病科",这是一组原因未明的原发性脑变性疾病。常起病于老年或老年前期、多缓慢发病，逐渐进展，以痴呆为主要表现。起病于老年前或者，多有同病家族史、病情发展较快。一般认为，年龄每增加5年，患病率将增加1倍。其中半数以上为阿尔来未病，女性较男性多见。,"善存银片,尼麦角林片,银杏叶片,氢溴酸加兰他敏片,复方阿米三嗪片","阿尔茨海默病自测Ⅰ,阿尔茨海默病自测Ⅱ"
2,全身,"阿斯伯格综合症(Asperger综合症,阿思伯格综合症,艾斯伯格综合症)","儿科,精神心理科,精神病科,心理咨询科",阿思伯格综合症（Aspergersyndrome，AS）是一种主要以社会交往困难，局限而异常的兴趣行为模式为特征的神经系统发育障碍性疾病，在分类上与孤独症同属于广泛性发育障碍。该病系由奥地利精神病学家Asperger1944年首先提出，仅比Kanner发现孤独症晚一年。该病病因不明，发病率可能远高于儿童孤独症，对儿童精神健康危害甚大。,暂无数据,暂无数据
3,女性盆骨,阿米巴性阴道炎,"妇产科,妇科,传染科",阿米巴性阴道炎（Amebicvaginitis）多继发于肠道感染，患者大便中的阿米巴滋养体（Amebictrophozoite）随粪便粘液排出，直接蔓延到外阴及阴道口。,暂无数据,暂无数据
4,全身,安眠药中毒,"神经内科,急诊科",所谓安眠，是指通过药物或其他措施对中枢神经系统产生广泛抑制作用，从而产生镇静、催眠和抗惊厥等效应。药物剂量不同，临床效果也不相同：使用小剂量镇静剂可起到安静、减轻和消除患者的激动、焦虑不安等症状的作用；中等剂量则可维持人正常睡眠；大剂量则有抗惊厥、麻醉作用。,暂无数据,暂无数据
5,"口,胸部,全身",氨气中毒(氨气中毒),"呼吸内科,急诊科",氨气是高度水溶性、无色、碱性的刺激性气体，强烈刺激眼睛和黏膜。可用于制造化肥、制冷剂，亦可用于炸药、染料、塑料和一些药物的生产。强烈的刺激性促使人们快速离开，从而避免产生严重肺损伤。家用清洁剂释放的氨气引起肺损伤罕见。,暂无数据,暂无数据
6,"头部,鼻,皮肤",阿斯匹林不耐受三联症(Wiolal综合征),"五官科,耳鼻咽喉科,中医科",阿斯匹林不耐受三联症（aspirinintolerancetriad）或称Wiolal综合征（Wielalssyndrome），是一种原因不明的呼吸道高反应性疾病。此类患者常伴有鼻息肉和支气管哮喘。阿斯匹林、消炎痛等非类固醇抗炎药物，常可诱发鼻炎（喷嚏、流涕）、哮喘发作，还可伴有荨麻疹、血管性血肿等症状。,暂无数据,暂无数据
7,腹部,Alagille综合征(先天性肝内胆管发育不良征，动脉-肝脏发育不良综合征，Watson-Alagille综合征),"内科,消化内科,外科,肝胆外科",Alagille综合征又称先天性肝内胆管发育不良征，动脉-肝脏发育不良综合征；Watson-Alagille综合征。,暂无数据,暂无数据
8,全身,A链球菌群感染(化脓性链球菌),"呼吸内科,儿科,传染科,急诊科",A链球菌群(groupAstreptococci)又称化脓性链球菌(streptococcuspyogenes)，A链球菌群呈乙型溶血反应，故过去称其为乙型溶血性链球菌(β-hemolyticstreptococcus)，是人类细菌感染中最重要的病原之一。引起的感染主要有急性咽炎、急性扁桃体炎，也可致肺部感染、猩红热、皮肤软组织感染，并可致全身性感染。该菌也是变态反应性疾病风湿热和急性肾小球肾炎的间接原因。近年来由A组链球菌所引起的严重感染，侵袭性A链球菌群(invasivegroupAstreptococcusinfections)的发病率的增长，也引起了人们对该类细菌感染更大的关注。,暂无数据,暂无数据
9,全身,阿根廷出血热(阿根廷和玻利维亚出血热),"内科,传染科",阿根廷出血热是分别由鸠宁(Junin)和马秋博(Machupo)病毒引起的，啮齿动物为主的自然疫源性疾病。临床特征有发热、剧烈肌痛、出血、休克、神经异常及白细胞和血小板减少等。,暂无数据,暂无数据
10,全身,癌症疼痛,肿瘤科,癌症疼痛系指肿瘤压迫、侵犯有关组织神经所产生的疼痛，为癌症临床常见症状之一。在癌症早期，由于瘤体尚小，一般无转移，因而癌症疼痛的发生率较低；晚期，病灶较大，不断向附近的组织器官进行浸润性生长，且往往有骨髓等远道转移。因此，癌症疼痛的发生率大大提高。癌症性疼痛多为持续性疼痛，并随之病灶增大而不断加剧。疼痛大致分为两种：一种为局部性，可定位；另一种则为弥漫型，疼痛部位不清。,暂无数据,暂无数据
11,腹部,阿米巴肝脓肿(阿米巴性肝脓肿),"内科,消化内科",阿米巴肝脓肿是（amebicliverabscess）阿米巴肠病最常见的并发症，以长期发热、右上腹或右下胸痛、全身消耗及肝脏肿大压痛、血白细胞增多等为主要临床表现，且易导致胸部并发症。,"奥硝唑氯化钠注射液,奥硝唑片",阿米巴肝脓肿自测
